,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,0,2,3,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,6,0,3,4
1,1,2,3,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,6,1,2,0
2,1,0,3,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,2,2
3,0,2,2,8,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,6,0,3,4
4,1,2,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,0,0
5,1,2,2,9,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,6,0,2,0
6,1,0,3,8,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,6,0,2,2
7,1,0,2,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,3,2
8,0,2,2,8,0,7,2,0,1,7,0,3,3,3,7,7,0,2,1,6,0,4,0
9,1,0,3,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,6,0,3,2
10,1,2,2,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,6,1,2,0
11,1,2,2,9,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,6,0,3,2
12,1,0,3,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,1,3,0
13,0,2,2,8,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,6,1,4,4
14,1,2,0,0,1,6,2,1,0,1,1,3,3,0,7,7,0,2,1,1,0,0,0
15,1,5,0,3,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,6,1,5,4
16,1,3,0,8,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,0,0
17,0,2,3,0,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,6,0,3,0
18,0,2,2,8,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,6,1,3,4
19,0,2,3,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,6,1,3,4
20,1,0,3,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,6,1,3,2
21,0,2,2,0,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,6,1,4,0
22,1,0,2,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,1,3,2
23,1,0,2,8,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,1,2,2
24,1,0,3,8,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,6,0,3,2
25,0,3,3,8,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,6,1,4,0
26,1,2,2,9,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,2,2
27,1,2,2,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,6,1,2,2
28,1,3,0,0,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,6,0,5,4
29,1,2,3,9,0,0,2,1,1,1,1,0,3,3,7,7,0,2,1,6,1,4,6
30,1,0,3,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,6,1,2,2
31,0,2,2,8,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,6,1,3,4
32,1,2,2,9,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,2,2
33,1,2,2,0,0,1,2,0,0,7,0,5,3,1,7,7,0,2,1,6,1,5,3
34,1,0,2,9,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,3,2
35,1,2,0,9,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,6,1,4,6
36,1,5,0,3,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,6,0,4,4
37,0,2,2,0,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,6,1,3,4
38,1,2,0,9,0,0,2,1,1,7,1,0,3,3,7,7,0,2,1,6,1,4,6
39,1,0,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,0,3,2
40,1,0,2,9,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,3,0
41,1,2,2,9,0,1,2,0,0,1,0,5,3,1,7,7,0,2,1,6,0,5,3
42,1,2,0,0,1,6,2,0,1,4,0,3,3,3,7,7,0,2,1,6,0,5,4
43,0,2,2,8,0,7,2,0,1,7,0,3,3,3,7,7,0,2,1,6,1,4,0
44,1,2,3,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,0,2,2
45,1,2,2,8,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,2,0
46,1,2,2,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,0,3,2
47,1,2,3,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,6,1,2,2
48,1,2,2,9,0,1,2,0,0,1,0,5,3,1,7,7,0,2,1,6,1,3,3
49,1,3,2,9,0,1,2,0,0,10,0,5,3,1,7,7,0,2,1,6,0,3,3
50,1,2,2,0,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,6,0,3,0
51,1,2,3,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,0,3,0
52,1,0,3,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,1,2,2
53,0,2,2,0,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,6,1,4,4
54,0,2,3,8,0,7,2,0,1,0,0,3,3,3,7,7,0,2,1,6,0,4,4
55,1,0,2,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,0,3,2
56,1,3,0,3,1,6,2,1,0,1,1,3,3,3,7,7,0,2,1,1,1,0,0
57,1,0,3,8,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,1,2,0
58,1,2,3,9,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,0,2,0
59,1,2,2,0,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,6,0,5,3
60,1,5,0,3,1,6,2,0,1,0,0,3,3,3,7,7,0,2,1,6,1,4,4
61,1,0,2,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,6,1,3,2
62,1,0,3,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,6,1,3,2
63,1,0,2,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,6,1,2,2
64,1,0,2,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,3,0
65,1,3,3,0,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0
66,1,2,3,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,0,3,0
67,1,3,2,9,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,6,1,3,0
68,1,2,2,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,0,2,0
69,1,2,0,3,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,6,1,4,4
70,1,3,0,9,0,1,2,1,1,7,1,0,3,3,7,7,0,2,1,6,1,4,6
71,1,0,2,8,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,6,1,3,2
72,1,3,0,9,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,6,1,4,6
73,1,2,2,0,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,6,0,3,3
74,1,0,3,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,6,0,3,0
75,1,3,3,9,0,1,2,1,1,7,1,0,3,3,7,7,0,2,1,6,1,4,6
76,1,2,3,8,0,1,2,1,1,1,1,0,3,3,7,7,0,2,1,6,6,4,6
77,1,3,2,0,0,1,2,0,0,7,0,5,3,1,7,7,0,2,1,6,1,5,3
78,0,2,2,0,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,6,1,4,4
79,1,3,2,0,0,0,2,0,0,1,0,5,3,1,7,7,0,2,1,6,1,5,0
80,1,2,3,0,1,6,2,1,0,0,1,3,0,3,7,7,0,2,1,1,1,3,0
81,0,2,2,8,0,7,2,0,1,10,0,3,3,3,7,7,0,2,1,6,0,3,0
82,1,3,0,3,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,6,1,5,4
83,1,2,0,3,1,6,2,1,0,1,1,3,3,3,7,7,0,2,1,1,1,3,0
84,1,2,2,9,0,1,2,0,0,10,0,5,3,1,7,7,0,2,1,6,0,3,0
85,1,2,3,0,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,3,0
86,1,0,3,8,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,6,0,3,0
87,1,2,3,8,0,1,2,0,0,1,0,1,3,3,7,7,0,2,1,6,1,3,0
88,1,3,2,0,0,1,2,0,0,10,0,5,3,1,7,7,0,2,1,6,0,5,0
89,1,5,0,0,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,6,1,4,4
90,1,2,0,0,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,6,1,5,4
91,1,0,3,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,6,0,3,0
92,1,2,2,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,6,0,3,0
