,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,habitat,season
0,1,15.26,3,2.0,11,2,4.0,8,16.95,17.09,2.0,3.0,8,2.0,8.0,1,4.0,8,4
1,1,16.6,3,2.0,11,2,4.0,8,17.99,18.19,2.0,3.0,8,2.0,8.0,1,4.0,8,2
2,1,14.07,3,2.0,11,2,4.0,8,17.8,17.74,2.0,3.0,8,2.0,8.0,1,4.0,8,4
3,1,14.17,4,5.0,7,2,4.0,8,15.77,15.98,2.0,3.0,8,2.0,8.0,1,6.0,8,4
4,1,14.64,3,5.0,11,2,4.0,8,16.53,17.2,2.0,3.0,8,2.0,8.0,1,6.0,8,4
5,1,15.34,3,2.0,11,2,4.0,8,17.84,18.79,2.0,3.0,8,2.0,8.0,1,6.0,8,2
6,1,14.85,4,5.0,11,2,4.0,8,17.71,16.89,2.0,3.0,8,2.0,8.0,1,4.0,8,4
7,1,14.86,3,5.0,7,2,4.0,8,17.03,17.44,2.0,3.0,8,2.0,8.0,1,6.0,8,2
8,1,12.85,4,2.0,11,2,4.0,8,17.27,18.69,2.0,3.0,8,2.0,8.0,1,6.0,8,3
9,1,13.55,4,2.0,7,2,4.0,8,16.04,16.88,2.0,3.0,8,2.0,8.0,1,6.0,8,4
10,1,14.17,4,5.0,7,2,4.0,8,17.86,18.02,2.0,3.0,8,2.0,8.0,1,6.0,8,3
11,1,13.4,3,5.0,11,2,4.0,8,17.95,17.14,2.0,3.0,8,2.0,8.0,1,6.0,8,2
12,1,17.37,3,5.0,11,2,4.0,8,18.1,18.27,2.0,3.0,8,2.0,8.0,1,4.0,8,2
13,1,16.56,3,5.0,11,2,4.0,8,18.89,18.11,2.0,3.0,8,2.0,8.0,1,6.0,8,2
14,1,15.37,3,5.0,7,2,4.0,8,18.19,18.38,2.0,3.0,8,2.0,8.0,1,4.0,8,3
15,1,15.54,4,5.0,7,2,4.0,8,18.26,17.87,2.0,3.0,8,2.0,8.0,1,6.0,8,3
16,1,15.19,3,2.0,7,2,4.0,8,17.42,17.67,2.0,3.0,8,2.0,8.0,1,6.0,8,3
17,1,17.4,3,5.0,11,2,4.0,8,18.48,18.54,2.0,3.0,8,2.0,8.0,1,6.0,8,3
18,1,16.16,3,2.0,11,2,4.0,8,19.46,18.9,2.0,3.0,8,2.0,8.0,1,6.0,8,4
19,1,16.93,3,5.0,7,2,4.0,8,18.31,17.81,2.0,3.0,8,2.0,8.0,1,6.0,8,2
20,1,13.0,4,2.0,7,2,4.0,8,17.3,17.19,2.0,3.0,8,2.0,8.0,1,4.0,8,4
21,1,13.06,3,2.0,7,2,4.0,8,16.9,17.38,2.0,3.0,8,2.0,8.0,1,4.0,8,2
22,1,17.23,3,5.0,11,2,4.0,8,17.63,17.92,2.0,3.0,8,2.0,8.0,1,4.0,8,4
23,1,14.39,3,2.0,7,2,4.0,8,16.98,17.48,2.0,3.0,8,2.0,8.0,1,6.0,8,4
24,1,15.56,4,2.0,11,2,4.0,8,17.28,16.99,2.0,3.0,8,2.0,8.0,1,6.0,8,2
25,1,13.2,3,2.0,11,2,4.0,8,16.91,16.9,2.0,3.0,8,2.0,8.0,1,6.0,8,4
26,1,13.9,4,5.0,7,2,4.0,8,17.81,17.77,2.0,3.0,8,2.0,8.0,1,4.0,8,2
27,1,16.38,4,2.0,11,2,4.0,8,18.36,17.99,2.0,3.0,8,2.0,8.0,1,6.0,8,2
28,1,13.3,3,5.0,7,2,4.0,8,17.6,17.52,2.0,3.0,8,2.0,8.0,1,6.0,8,3
29,1,15.95,4,2.0,11,2,4.0,8,16.42,16.65,2.0,3.0,8,2.0,8.0,1,4.0,8,4
30,1,16.58,3,2.0,11,2,4.0,8,18.26,18.12,2.0,3.0,8,2.0,8.0,1,4.0,8,3
31,1,14.1,4,2.0,11,2,4.0,8,16.94,16.76,2.0,3.0,8,2.0,8.0,1,6.0,8,2
32,1,13.81,4,5.0,11,2,4.0,8,17.22,17.11,2.0,3.0,8,2.0,8.0,1,4.0,8,3
33,1,14.67,4,5.0,11,2,4.0,8,17.2,16.77,2.0,3.0,8,2.0,8.0,1,6.0,8,3
34,1,14.23,4,5.0,7,2,4.0,8,17.22,17.23,2.0,3.0,8,2.0,8.0,1,6.0,8,2
35,1,14.78,4,2.0,7,2,4.0,8,17.44,17.13,2.0,3.0,8,2.0,8.0,1,6.0,8,2
36,1,15.08,3,2.0,7,2,4.0,8,17.09,17.8,2.0,3.0,8,2.0,8.0,1,4.0,8,4
37,1,16.0,3,2.0,7,2,4.0,8,16.96,17.22,2.0,3.0,8,2.0,8.0,1,4.0,8,2
38,1,14.76,4,2.0,11,2,4.0,8,18.14,17.54,2.0,3.0,8,2.0,8.0,1,6.0,8,3
39,1,14.89,3,2.0,7,2,4.0,8,17.78,18.07,2.0,3.0,8,2.0,8.0,1,4.0,8,4
40,1,13.05,4,2.0,7,2,4.0,8,17.32,17.17,2.0,3.0,8,2.0,8.0,1,6.0,8,4
41,1,13.03,4,5.0,7,2,4.0,8,17.05,17.07,2.0,3.0,8,2.0,8.0,1,6.0,8,4
42,1,14.07,4,2.0,11,2,4.0,8,16.98,17.76,2.0,3.0,8,2.0,8.0,1,6.0,8,4
43,1,15.09,4,2.0,11,2,4.0,8,17.45,18.15,2.0,3.0,8,2.0,8.0,1,4.0,8,3
44,1,12.22,4,5.0,11,2,4.0,8,18.19,17.62,2.0,3.0,8,2.0,8.0,1,4.0,8,4
45,1,15.12,3,2.0,7,2,4.0,8,17.03,17.2,2.0,3.0,8,2.0,8.0,1,4.0,8,3
46,1,18.04,4,2.0,7,2,4.0,8,18.86,19.79,2.0,3.0,8,2.0,8.0,1,4.0,8,4
