,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,1,3,4,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,4,5
1,2,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,1
2,2,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,3
3,1,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,1,4,5
4,2,3,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1
5,2,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,1
6,2,1,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,3
7,2,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,3
8,1,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,1,5,1
9,2,1,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,3
10,2,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,1
11,2,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,3
12,2,1,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
13,1,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,5,5
14,2,3,1,1,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,1,1
15,2,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,6,5
16,2,4,1,9,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1
17,1,3,4,1,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,1,4,1
18,1,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,4,5
19,1,3,4,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,4,5
20,2,1,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,3
21,1,3,3,1,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,5,1
22,2,1,3,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,3
23,2,1,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,3
24,2,1,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,3
25,1,4,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,5,1
26,2,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,3
